id,return
1,0.0625686
2,0.077816375
3,0.0726741
4,0.07294278
5,0.068293594
6,0.062727325
7,0.036156744
8,0.0730436
9,0.06384028
10,0.08163497
11,0.011223004
12,0.022578754
13,0.06908596
14,0.054719187
15,0.087391466
16,0.06803519
17,0.04004594
18,0.055729695
19,0.035971634
20,0.048113413
21,0.06975722
22,0.036669143
23,0.05757913
24,0.054429717
25,0.086544216
26,0.04877647
27,0.07978177
28,0.05394933
29,0.06426465
30,0.038690425
31,0.065321654
32,0.06297264
33,-0.0062327497
34,0.06863858
35,0.06849851
36,0.08146437
37,0.05493658
38,0.045294847
39,0.079821944
40,0.08372128
41,0.05276781
42,0.059842773
43,0.06570466
44,0.11092479
45,0.02518785
46,0.0864147
47,0.08473689
48,0.024888316
49,0.05703815
50,0.026262842
51,0.105631836
52,0.09433037
53,0.08002565
54,0.06951315
55,0.020025035
56,0.07456744
57,0.04124116
58,0.060213342
59,0.0716545
60,0.0938056
61,0.0622035
62,0.054902993
63,0.025142893
64,0.0035865852
65,0.045617275
66,0.054041915
67,0.0518918
68,0.049704373
69,0.041629903
70,0.055909514
71,0.07172251
72,0.11590717
73,0.04308282
74,0.052411225
75,0.065144055
76,0.061800603
77,0.045117117
78,0.09297221
79,0.07527802
80,0.047508977
81,0.040142715
82,0.07902664
83,0.04655178
84,0.031974882
85,0.0026363928
86,0.052968025
87,0.027931912
88,0.085270986
89,0.023478968
90,0.0503964
91,0.03124044
92,0.07091046
93,0.07049334
94,0.077790394
95,0.102243766
96,0.114961416
97,0.09910154
98,0.019139446
99,0.07413483
100,0.046292312
101,0.068112075
102,0.03517712
103,0.08369683
104,0.06384409
105,0.053885117
106,0.074715294
107,0.07822655
108,0.072197534
109,0.10162873
110,0.051913373
111,0.0893117
112,-0.023177521
113,0.078300335
114,0.02472017
115,0.08572422
116,0.05681455
117,0.06492748
118,0.0017231009
119,0.07695083
120,0.024749724
121,0.06462093
122,0.098943755
123,0.0917686
124,0.05829133
125,0.071163036
126,0.04164239
127,0.059879754
128,0.07562321
129,0.08761273
130,0.089475445
131,0.098882616
132,0.059160206
133,0.06077466
134,0.057538297
135,0.052876905
136,-0.008594316
137,0.08377281
138,0.05804289
139,0.06576065
140,0.0706787
141,0.03576825
142,0.05728163
143,0.1164965
144,0.013593102
145,0.07984445
146,0.07916641
147,0.07730646
148,0.10494548
149,0.1418329
150,0.07361978
151,0.06470451
152,0.041999828
153,0.057708245
154,0.05538913
155,0.08074284
156,0.06886328
157,0.05232262
158,0.099586174
159,0.06555403
160,0.081504256
161,0.07759169
162,0.062152207
163,0.028762951
164,0.047366146
165,0.03274351
166,0.04130449
167,0.010575179
168,0.049995814
169,0.041803107
170,0.08295174
171,0.062326685
172,0.023197522
173,0.07556847
174,0.059763536
175,-0.009361836
176,0.033355024
177,0.035575517
178,0.056118455
